bond_pair,reaction,mol_name,mol_cas,mol_url,Hf_mol_kJ_mol,Hf_mol_ref,radA_name,radA_cas,radA_url,Hf_radA_kJ_mol,Hf_radA_ref,radB_name,radB_cas,radB_url,Hf_radB_kJ_mol,Hf_radB_ref,BDE_kJ_mol,status,notes
Cl-F,ClF → Cl• + F•,Chlorine monofluoride,7790-89-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7790898&Mask=1,-50.29,"Chase, 1998",Chlorine atom,22537-15-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C22537151&Mask=1,121.301,"Cox, Wagman, et al., 1984",Fluorine atom,14762-94-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14762948&Mask=1,79.38,"Cox, Wagman, et al., 1984",250.97,ok,
Br-F,BrF → Br• + F•,Bromine monofluoride,13863-59-7,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13863597&Mask=1,-58.46,"Chase, 1998",Bromine atom,10097-32-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C10097322&Mask=1,111.87,"Cox, Wagman, et al., 1984",Fluorine atom,14762-94-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14762948&Mask=1,79.38,"Cox, Wagman, et al., 1984",249.71,ok,
Br-Cl,BrCl → Br• + Cl•,Bromine monochloride,13863-41-7,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13863417&Mask=1,14.64,"Chase, 1998",Bromine atom,10097-32-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C10097322&Mask=1,111.87,"Cox, Wagman, et al., 1984",Chlorine atom,22537-15-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C22537151&Mask=1,121.301,"Cox, Wagman, et al., 1984",218.53,ok,
I-F,IF → I• + F•,Iodine monofluoride,13873-84-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13873842&Mask=1,-94.76,"Chase, 1998",Iodine atom,14362-44-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14362448&Mask=1,106.76,"Cox, Wagman, et al., 1984",Fluorine atom,14762-94-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14762948&Mask=1,79.38,"Cox, Wagman, et al., 1984",280.9,ok,
I-Cl,ICl → I• + Cl•,Iodine monochloride,7790-99-0,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7790990&Mask=1,17.51,"Chase, 1998",Iodine atom,14362-44-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14362448&Mask=1,106.76,"Cox, Wagman, et al., 1984",Chlorine atom,22537-15-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C22537151&Mask=1,121.301,"Cox, Wagman, et al., 1984",210.55,ok,
I-Br,IBr → I• + Br•,Iodine monobromide,7789-33-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7789335&Mask=1,40.88,"Chase, 1998",Iodine atom,14362-44-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14362448&Mask=1,106.76,"Cox, Wagman, et al., 1984",Bromine atom,10097-32-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C10097322&Mask=1,111.87,"Cox, Wagman, et al., 1984",177.75,ok,
C=O-ALDEHYDE,CH3CHO → CH3CO• + H•,Acetaldehyde,75-07-0,https://webbook.nist.gov/cgi/cbook.cgi?ID=C75070&Mask=1,-170.7,"Wiberg, Crocker, et al., 1991",Acetyl radical,3170-69-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C3170692&Mask=1,-12.0,"Tsang, 1996",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",376.7,ok,
C=O-KETONE,CH3COCH3 → CH3COCH2• + H•,Acetone,67-64-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C67641&Mask=1,-218.5,"Wiberg, Crocker, et al., 1991",Acetonyl radical,3180-41-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C3180412&Mask=1,,,Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Acetonyl radical)
C=O-ACID,CH3COOH → CH3COO• + H•,Acetic acid,64-19-7,https://webbook.nist.gov/cgi/cbook.cgi?ID=C64197&Mask=1,-433.0,N/A,Carboxyl radical,18492-38-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C18492381&Mask=1,,,Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Carboxyl radical)
C-O-ESTER,CH3COOCH3 → CH3O• + CH3CO•,Methyl acetate,79-20-9,https://webbook.nist.gov/cgi/cbook.cgi?ID=C79209&Mask=1,-410.0,"Hall and Baldt, 1971",Methoxy radical,2143-68-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2143682&Mask=1,17.0,"Tsang, 1996",Acetyl radical,3170-69-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C3170692&Mask=1,-12.0,"Tsang, 1996",415.0,ok,
